spinup_suffix,output_suffix,sigma_p,lambda_o,sigma_f,sigma_QTL,K,l_e,p_QTL,delta_e,p_hl
1sensitivity,1sensitivity,0.05,0.25,0.25,0.10,1000,0.10,0.05,3.00,0.667
2sensitivity,2sensitivity,0.025,0.25,0.25,0.10,1000,0.10,0.05,3.00,0.667
3sensitivity,3sensitivity,0.10,0.125,0.25,0.10,1000,0.10,0.05,3.00,0.667
4sensitivity,4sensitivity,0.10,0.50,0.25,0.10,1000,0.10,0.05,3.00,0.667
5sensitivity,5sensitivity,0.10,0.25,0.125,0.10,1000,0.10,0.05,3.00,0.667
6sensitivity,6sensitivity,0.10,0.25,0.50,0.10,1000,0.10,0.05,3.00,0.667
7sensitivity,7sensitivity,0.10,0.25,0.25,0.05,1000,0.10,0.05,3.00,0.667
8sensitivity,8sensitivity,0.10,0.25,0.25,0.20,1000,0.10,0.05,3.00,0.667
9sensitivity,9sensitivity,0.10,0.25,0.25,0.10,500,0.10,0.05,3.00,0.667
10sensitivity,10sensitivity,0.10,0.25,0.25,0.10,250,0.10,0.05,3.00,0.667
11sensitivity,11sensitivity,0.10,0.25,0.25,0.10,1000,0.05,0.05,3.00,0.667
12sensitivity,12sensitivity,0.10,0.25,0.25,0.10,1000,0.20,0.05,3.00,0.667
13sensitivity,13sensitivity,0.10,0.25,0.25,0.10,1000,0.10,0.025,3.00,0.667
14sensitivity,14sensitivity,0.10,0.25,0.25,0.10,1000,0.10,0.10,3.00,0.667
,15sensitivity,0.10,0.25,0.25,0.10,1000,0.10,0.05,2.40,0.667
,16sensitivity,0.10,0.25,0.25,0.10,1000,0.10,0.05,3.75,0.667
,17sensitivity,0.10,0.25,0.25,0.10,1000,0.10,0.05,3.00,0.533
,18sensitivity,0.10,0.25,0.25,0.10,1000,0.10,0.05,3.00,0.833